sku_id,description,supplier,cost_per_unit,status,category
ACA-10159,ACA-10159 Engine Air Filter,Gpaiplus,1.63,Discontinued,Auto Filters
ACA-10165,ACA-10165 Engine Air Filter,Gpaiplus,2.03,Discontinued,Auto Filters
ACA-10169,ACA-10169 Engine Air Filter,Gpaiplus,2.37,Discontinued,Auto Filters
ACA-10171,ACA-10171 Engine Air Filter,Gpaiplus,1.21,Discontinued,Auto Filters
ACA-10190,ACA-10190 Engine Air Filter,Gpaiplus,1.14,Discontinued,Auto Filters
ACA-10242,ACA-10242 Engine Air Filter,Gpaiplus,1.42,Discontinued,Auto Filters
ACA-10261,ACA-10261 Engine Air Filter,Gpaiplus,5.33,Discontinued,Auto Filters
ACA-10262,ACA-10262 Engine Air Filter,Gpaiplus,3.28,Discontinued,Auto Filters
ACA-10344,ACA-10344 Engine Air Filter,Gpaiplus,1.52,Discontinued,Auto Filters
ACA-10348,ACA-10348 Engine Air Filter,Gpaiplus,2.13,Discontinued,Auto Filters
ACA-4309,ACA-4309 Engine Air Filter,Gpaiplus,2.06,Discontinued,Auto Filters
ACA-7351,ACA-7351 Engine Air Filter,Gpaiplus,1.47,Discontinued,Auto Filters
ACA-7440,ACA-7440 Engine Air Filter,Gpaiplus,1.78,Discontinued,Auto Filters
ACA-8039,ACA-8039 Engine Air Filter,Gpaiplus,2.2,Discontinued,Auto Filters
ACA-8755A,ACA-8755A Engine Air Filter,Gpaiplus,2.77,Discontinued,Auto Filters
ACA-8918,ACA-8918 Engine Air Filter,Gpaiplus,2.35,Discontinued,Auto Filters
ACA-9360,ACA-9360 Engine Air Filter,Gpaiplus,1.36,Discontinued,Auto Filters
ACA-9361,ACA-9361 Engine Air Filter,Gpaiplus,2.29,Discontinued,Auto Filters
ACA-9482,ACA-9482 Engine Air Filter,Gpaiplus,1.2,Discontinued,Auto Filters
ACA-9683,ACA-9683 Engine Air Filter,Gpaiplus,2.47,Discontinued,Auto Filters
ACA-9997,ACA-9997 Engine Air Filter,Gpaiplus,1.53,Discontinued,Auto Filters
ACF-10132,Cabin Air Filter,Gpaiplus,2.1,Discontinued,Auto Filters
ACF-10133,Cabin Air Filter,Gpaiplus,1.37,Discontinued,Auto Filters
ACF-10134,Cabin Air Filter,Blue Sky,1.86,Active,Auto Filters
ACF-10135,Cabin Air Filter,Gpaiplus,2.76,Discontinued,Auto Filters
ACF-10138,Cabin Air Filter,Gpaiplus,0.01,Discontinued,Auto Filters
ACF-10139,Cabin Air Filter,Gpaiplus,1.09,Discontinued,Auto Filters
ACF-10140,Cabin Air Filter,Gpaiplus,1.74,Discontinued,Auto Filters
ACF-10285,Cabin Air Filter,Blue Sky,1.78,Active,Auto Filters
ACF-10374,Cabin Air Filter,Gpaiplus,0.01,Discontinued,Auto Filters
ACF-10377,Cabin Air Filter,Gpaiplus,0.01,Discontinued,Auto Filters
ACF-10547,Cabin Air Filter,Gpaiplus,0.01,Discontinued,Auto Filters
ACF-10553,Cabin Air Filter,Gpaiplus,2.13,Discontinued,Auto Filters
ACF-10709,Cabin Air Filter,Blue Sky,1.5,Active,Auto Filters
ACF-10729,Cabin Air Filter,SCTF,2.74,Discontinued,Auto Filters
ACF-10743,Cabin Air Filter,Gpaiplus,0.01,Discontinued,Auto Filters
ACF-10775,Cabin Air Filter,SCTF,2.28,Discontinued,Auto Filters
ACF-11176,Cabin Air Filter,Gpaiplus,0.01,Discontinued,Auto Filters
ACF-11177,Cabin Air Filter,Gpaiplus,1.38,Discontinued,Auto Filters
ACF-11178,Cabin Air Filter,Blue Sky,1.78,Active,Auto Filters
ACF-11179,Cabin Air Filter,SCTF,4.67,Discontinued,Auto Filters
ACF-11182,Cabin Air Filter,SCTF,2.32,Discontinued,Auto Filters
ACF-11183,Cabin Air Filter,Gpaiplus,0.01,Discontinued,Auto Filters
ACF-11668,Cabin Air Filter,Gpaiplus,2.76,Discontinued,Auto Filters
ACF-8392A,Cabin Air Filter,Gpaiplus,0.01,Discontinued,Auto Filters
ACF-8791A,Cabin Air Filter,Gpaiplus,2.09,Discontinued,Auto Filters
ACF-8813A,Cabin Air Filter,Gpaiplus,0.01,Discontinued,Auto Filters
ACF-9846A,Cabin Air Filter,Gpaiplus,0.01,Discontinued,Auto Filters
AD-6FT-2PR,6ft 2 Prong AC Wall Cable Power Cord,Special elcctronics ,0.5,Discontinued,Adapter
AD-CBOOK-2,Samsung Chromebook 2 3 Adapter  with US Plug Power Cord,Special elcctronics ,5.56,Discontinued,Adapter
AD-DL-14R,Dell Inspiron 14R Laptop Adapter  with US Plug Power Cord,Special elcctronics ,7.1,Discontinued,Adapter
AD-HP-NV-TS,HP-Envy Touchsmart-Sleekbook 15 17 M6 M7 Series P/N: 854117-850 853605-001,Special elcctronics ,7.47,Discontinued,Adapter
AD-ICONIA-A100,Acer-Iconia Aspire-Switch 10 SW5 A100 Adapter,Special elcctronics ,3.1,Discontinued,Adapter
AD-IDEA-PAD,Lenovo-IdeaPad N580 N581 Laptop Adapter  with US Plug Power Cord,Special elcctronics ,7.48,Discontinued,Adapter
AD-LM-LT,Dymo Letra Tag Plus & LabelManager Adapter,Special elcctronics ,2.4,Discontinued,Adapter
AD-MBP33,MOTOROLA MBP33 Adapter,Special elcctronics ,2.4,Discontinued,Adapter
AD-NONO-8800,NoNo Hair Removal System Model 8800 DC Power Supply Cord,Special elcctronics ,3.1,Discontinued,Adapter
ADP-50SB-ZZ,Dell ADP-50SB Adapter (not PA-17),Discontinued,0.01,Discontinued,Adapter
AD-PT-D200,Brother P-Touch PT-D200 PTD200 PT-D200VP Label Maker Adapter,Special elcctronics ,2.4,Discontinued,Adapter
AD-PVN-G6,HP-Pavilion G6 Laptop Adapter with US Plug Power Cord,Special elcctronics ,5.82,Discontinued,Adapter
AD-ROG-G71,Asus A53S G53 Laptop Adapter  with US Plug Power Cord,Special elcctronics ,16.12,Discontinued,Adapter
AD-ROG-G750,Asus ROG G-Series Laptop Adatper  with US Plug Power Cord,Special elcctronics ,26.43,Discontinued,Adapter
AD-SMR-INFANT,7.5V Summer Infant Baby Video Monitor Adapter,Special elcctronics ,2.4,Discontinued,Adapter
AD-SRS-2-7,Samsung Series 2-7 Laptop Adapter  with US Plug Power Cord,Special elcctronics ,7.1,Discontinued,Adapter
AD-SRS-9,Samsung Series 9 Laptop Adapter  with US Plug Power Cord,Special elcctronics ,5.82,Discontinued,Adapter
AD-VB-S200,Asus Vivobook S200 Laptop Adapter  with US Plug Power Cord,Special elcctronics ,5.83,Discontinued,Adapter
AD-WHL-TRM,Wahl Trimmer Groomsman Shaver Adapter,Special elcctronics ,3.11,Discontinued,Adapter
AD-X401,Asus X401 Laptop Adapter  with US Plug Power Cord,Special elcctronics ,5.55,Discontinued,Adapter
AD-X-RCKR,X Rocker Pro Series H3 51259 Gaming Chair Adapter,Special elcctronics ,3.1,Discontinued,Adapter
AD-YMH-PSR,Yamaha 88-key Digital Piano Keyboard Adapter,Special elcctronics ,3.11,Discontinued,Adapter
AHDBT-002,GoPro Hero2 Battery,King Power,1.98,Active,Camera Battery
AHDBT-002-CH,GoPro Hero2 Charger,King Power,1.88,Active,Camera Charger
AHDBT-401,GoPro Hero 4 Battery,King Power,2.36,Discontinued,Camera Battery
AHDBT-401-CH,GoPro Hero 4 Charger,King Power,1.93,Discontinued,Camera Charger
AHDBT-501,GoPro Hero5 1250mAh Battery,King Power,5.13,Discontinued,Camera Battery
AHDBT-501-CH,GoPro Hero5 Charger,King Power,2.99,Active,Camera Charger
AHDBT-801,GoPro8 1220mah 801,King Power,4.11,Active,Camera Battery
AHDBT-901,GoPro9 Battery,King Power,5.7,Discontinued,Camera Battery
AHDBT-901-CH,Go Pro 9 Charger,King Power,2.99,Discontinued,Camera Charger
ALB-241555401,Frigidaire 241555401 Light Bulb Refrigerator (A15 E26 120V 40W),D-Light,0.37,Active,Light Bulb
ALB-316538901,A15*85mm E26 130V 40W clear oven bulbs,D-Light,0.32,Active,Light Bulb
ALB-4173175,Whirlpool 4173175 Lamp Bulb (T22*48 E14s 120V 15W 300?)?,D-Light,0.29,Active,Light Bulb
ALB-4713-001013,Samsung 4713-001013 Lamp-Incandescent (T25*65mm E17 130V 40W),D-Light,0.23,Active,Light Bulb
ALB-4713-001165,Samsung 4713-001165 Microwave Light (G8 120V 20W),D-Light,0.27,Active,Light Bulb
ALB-6912A40002E,"LG 6912A40002E Lamp, Halogen (G8 120V 20W)",D-Light,0.27,Active,Light Bulb
ALB-6912W1Z004B,T25*65mm E17 125V 30W,D-Light,0.26,Active,Light Bulb
ALB-8009,A15*85mm E26 120V 40W,D-Light,0.31,Active,Light Bulb
ALB-8206232A,T22*55mm E17 130V 40W,D-Light,0.29,Active,Light Bulb
ALB-8206443,Whirlpool 8206443 Bulb-Light (S35 E17 120V 40W),D-Light,0.18,Active,Light Bulb
ALB-SB02300891,Broan SB02300891 Range Hood Light Bulb (G4 12V 20W),D-Light,0.27,Active,Light Bulb
ALB-W10709921,KitchenAid W10709921 Light Bulb (G9 120V 25W),D-Light,0.28,Active,Light Bulb
ALB-WB01X10239,T3 G4 Base 12V  20W,D-Light,0.27,Active,Light Bulb
ALB-WB25X10019,G8 Base 120V 20W Halogen bulbs,D-Light,0.27,Active,Light Bulb
ALB-WB36X10003,T25*65mm E17 130V 40W,D-Light,0.26,Active,Light Bulb
ALB-WE05X20431,GE WE05X20431 Dryer Drum Light Bulb (S6 E12 120V 10W clear),D-Light,0.28,Active,Light Bulb
ALB-WP4452164,KitchenAid WP4452164 Light Bulb (G4 Base 12V 5W),D-Light,0.28,Active,Light Bulb
ALB-WR02X12208,S6*46mm E12 12V  6W,D-Light,0.28,Active,Light Bulb
AP-12001656,Whirlpool 12001656 Oven Sensor for Range,Partsnet,4.02,Active,Appliance Parts
AP-12112425,Whirlpool 12112425 Washer Belt (211124 & 211125 belts packed together),Mingxing Appliance,1.77,Active,Appliance Parts
AP-131450300,Frigidaire 131450300 Lint Filter Dryer,Mingxing Appliance,3.66,Active,Appliance Parts
AP-131763202,131763202 Front Load Washer Door Lock Switch,Partsnet,8.56,Active,Appliance Parts
AP-131763310,Frigidaire 131763310 Striker,Partsnet,0.33,Active,Appliance Parts
AP-131965300,Frigidaire 131965300 Knob,Mingxing Appliance,1.05,Death Row,Appliance Parts
AP-134120900,Frigidaire 134120900 Thermal Limiter,Mingxing Appliance,1.37,Active,Appliance Parts
AP-134412860,Frigidaire 134412860 Door Handle,Mingxing Appliance,2.5,Active,Appliance Parts
AP-134503600,Frigidaire 134503600 Drum Belt for Dryer,Mingxing Appliance,2.19,Active,Appliance Parts
AP-134511600,Frigidaire 134511600 Washer Drive Belt,Mingxing Appliance,0.87,Active,Appliance Parts
AP-134550800,Frigidaire 134550800 Hinge,Mingxing Appliance,12.34,Active,Appliance Parts
AP-134792700,Electrolux 134792700 HEATER,Mingxing Appliance,12.02,Discontinued,Appliance Parts
AP-134793600,Electrolux 134793600 Dryer Filter,Mingxing Appliance,5.22,Active,Appliance Parts
AP-137032600,Frigidaire 137032600 Inlet Thermal Fuse,Mingxing Appliance,1.5,Active,Appliance Parts
AP-137221600,Electrolux 137221600 Washer Drain Pump Kit,Partsnet,6.91,Discontinued,Appliance Parts
AP-137292700,Frigidaire 137292700 Belt,Mingxing Appliance,2.19,Active,Appliance Parts
AP-154580301,Frigidaire 154580301 Drain Pump Assembly,Mingxing Appliance,9,Discontinued,Appliance Parts
AP-154701001,Frigidaire 154701001 Splash Shield Kit,Mingxing Appliance,0.43,Active,Appliance Parts
AP-154827601,Frigidaire 154827601 Tub Gasket,Mingxing Appliance,2.19,Active,Appliance Parts
AP-165314,165314 Bosch Dishwasher Lower Dishrack Wheel,Mingxing Appliance,0.31,Active,Appliance Parts
AP-215846602,Frigidaire 215846602 Defrost Timer for Refrigerator,Partsnet,2.41,Active,Appliance Parts
AP-215846604,Frigidaire 215846604 Defrost Timer,Partsnet,1.98,Discontinued,Appliance Parts
AP-2169373,Whirlpool 2169373 Refrigerator and Freezer Compressor Run Capacitor,Partsnet,1.09,Active,Appliance Parts
AP-218428101,"Frigidaire 218428101 Door Handle for Refrigerator, White",Mingxing Appliance,3.13,Active,Appliance Parts
AP-2187172,Whirlpool 2187172 Shelf for Refrigerator,Mingxing Appliance,2.7,Active,Appliance Parts
AP-2198202,Whirlpool 2198202 Thermostat for Refrigerator,Partsnet,2.15,Active,Appliance Parts
AP-2198597,Whirlpool 2198597 Icemaker,Chuzhou Ice Maker,22.56,Active,Refrigerator Ice maker
AP-2260502B,Whirlpool 2260502B Water Filter Cap for Refrigerator,Partsnet,1.6,Active,Appliance Parts
AP-240323001,240323001 Refrigerator Door Bin,Mingxing Appliance,2.61,Active,Appliance Parts
AP-240323002,Frigidaire 240323002 Door Bin for Refrigerator,Mingxing Appliance,2.93,Active,Appliance Parts
AP-240338001,Frigidaire 240338001 Door Bin for Refrigerator,Partsnet,3.76,Active,Appliance Parts
AP-240351601,240351601 Freezer Door Bin,Mingxing Appliance,1.78,Active,Appliance Parts
AP-240356401,"240356401 Refrigerator Bin for Electrolux, White",Mingxing Appliance,2.61,Active,Appliance Parts
AP-240363701,Kenmore 240363701 Refrigerator Door Bin,Mingxing Appliance,2.61,Active,Appliance Parts
AP-240530601,Frigidaire 240530601 Pan Hanger,Mingxing Appliance,2.61,Active,Appliance Parts
AP-240530701,Frigidaire 240530701 Pan Hanger,Mingxing Appliance,2.61,Active,Appliance Parts
AP-240534701,Frigidaire 240534701 Door Rack for Refrigerator,Mingxing Appliance,3.5,Discontinued,Appliance Parts
AP-241509402,Frigidaire 241509402 Evaporator Motor,Mingxing Appliance,6.27,Active,Appliance Parts
AP-241798224,Frigidaire 241798224 Ice Maker Assembly,Chuzhou Ice Maker,21.91,Active,Refrigerator Ice maker
AP-279393,Whirlpool 279393 Terminal Block Screw Kit,Partsnet,0.68,Active,Appliance Parts
AP-279570,279570 Dryer Door Latch & Strike Kit,Mingxing Appliance,0.89,Active,Appliance Parts
AP-279640,279640 Dryer Idler Pulley,Mingxing Appliance,0.79,Active,Appliance Parts
AP-279834,Whirlpool 279834 Valve Coil for Dryer,Mingxing Appliance,2.3,Active,Appliance Parts
AP-279838,Dryer Heating Element 279838 For Whirlpool/Kenmore,Mingxing Appliance,7.11,Active,Appliance Parts
AP-280145,Whirlpool 280145 Hub Kit,Mingxing Appliance,2.51,Active,Appliance Parts
AP-280187,280187 Drain Pump Motor Only,Mingxing Appliance,6.27,Active,Appliance Parts
AP-285671,Whirlpool 285671 Washer Lid Switch Kit,Partsnet,1.68,Active,Appliance Parts
AP-285753A,285753A Whirlpool Washing Machine Motor Couplers,Mingxing Appliance,0.94,Active,Appliance Parts
AP-285805,Whirlpool 285805 Inlet Valve for Clothes Washer,Mingxing Appliance,3.67,Active,Appliance Parts
AP-285809,285809 Short Cam Agitator Repair Kit,Mingxing Appliance,1.36,Active,Appliance Parts
AP-285811,Whirlpool 285811 Agitator Repair Kit for Washer,Partsnet,1.37,Active,Appliance Parts
AP-297147700,Frigidaire 297147700 Lock Key,Mingxing Appliance,0.57,Active,Appliance Parts
AP-297216600,Frigidaire 297216600 Defrost Thermostat,Partsnet,1.5,Active,Appliance Parts
AP-297250000,Frigidaire 297250000 Motor For Refrigerator,Partsnet,0.01,Discontinued,Appliance Parts
AP-303373K,Whirlpool 303373K Drum Support Kit,Partsnet,1.91,Active,Appliance Parts
AP-306508,306508 Tumbler Bearing Kit,Partsnet,1.06,Active,Appliance Parts
AP-312959,Whirlpool Y312959 Dryer Belt,Partsnet,2.42,Active,Appliance Parts
AP-316217002,Frigidaire 316217002 Oven Temp Probe,Mingxing Appliance,4.5,Discontinued,Appliance Parts
AP-3204267,Frigidaire 3204267 Safety Thermostat,Mingxing Appliance,1.89,Active,Appliance Parts
AP-330031,Whirlpool 330031 Top Burner Receptacle,Mingxing Appliance,1.05,Active,Appliance Parts
AP-3363394,3363394 Washer Water Drain Pump,Mingxing Appliance,3.24,Active,Appliance Parts
AP-3387747,Whirlpool 3387747 Element Dryer,Mingxing Appliance,6.79,Active,Appliance Parts
